filas,con_bucle_ms,con_apply_ms,vectorizada_ms,apply / vectorizada
1000,10.36,108.62,2.75,39.0
5000,22.8,237.37,1.18,201.0
20103,75.02,1027.51,4.43,232.0
40000,147.96,1949.99,5.39,362.0
