nivel_x,n,positivos,porcentaje
1,784,159,20.3
2,307,54,17.6
3,175,38,21.7
4,537,139,25.9
5,674,166,24.6
6,4587,1394,30.4
7,856,277,32.4
8,3682,1300,35.3
